time,altitude,latitude,longitude,chlorophyll
UTC,m,degrees_north,degrees_east,mg m-3
2022-05-16T12:00:00Z,0.0,48.075,-123.15,NaN
2022-05-16T12:00:00Z,0.0,48.075,-123.125,NaN
2022-05-16T12:00:00Z,0.0,48.075,-123.1,NaN
2022-05-16T12:00:00Z,0.0,48.075,-123.07499999999999,NaN
2022-05-16T12:00:00Z,0.0,48.075,-123.05000000000001,NaN
2022-05-16T12:00:00Z,0.0,48.075,-123.025,47.949993
2022-05-16T12:00:00Z,0.0,48.075,-123.0,NaN
2022-05-16T12:00:00Z,0.0,48.075,-122.975,NaN
2022-05-16T12:00:00Z,0.0,48.075,-122.94999999999999,NaN
2022-05-16T12:00:00Z,0.0,48.075,-122.92500000000001,1.1753052
2022-05-16T12:00:00Z,0.0,48.075,-122.9,6.6451683
2022-05-16T12:00:00Z,0.0,48.075,-122.875,NaN
2022-05-16T12:00:00Z,0.0,48.075,-122.85,NaN
2022-05-16T12:00:00Z,0.0,48.075,-122.82499999999999,NaN
2022-05-16T12:00:00Z,0.0,48.075,-122.80000000000001,NaN
2022-05-16T12:00:00Z,0.0,48.075,-122.775,36.03499
2022-05-16T12:00:00Z,0.0,48.075,-122.75,108.08273
2022-05-16T12:00:00Z,0.0,48.075,-122.725,NaN
2022-05-16T12:00:00Z,0.0,48.075,-122.69999999999999,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.30000000000001,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.275,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.25,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.225,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.19999999999999,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.17500000000001,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.15,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.125,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.1,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.07499999999999,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.05000000000001,NaN
2022-05-16T12:00:00Z,0.0,48.1,-123.025,7.16847
2022-05-16T12:00:00Z,0.0,48.1,-123.0,6.618874
2022-05-16T12:00:00Z,0.0,48.1,-122.975,22.47894
2022-05-16T12:00:00Z,0.0,48.1,-122.94999999999999,3.015717
2022-05-16T12:00:00Z,0.0,48.1,-122.92500000000001,3.3147595
2022-05-16T12:00:00Z,0.0,48.1,-122.9,19.680038
2022-05-16T12:00:00Z,0.0,48.1,-122.875,NaN
2022-05-16T12:00:00Z,0.0,48.1,-122.85,NaN
2022-05-16T12:00:00Z,0.0,48.1,-122.82499999999999,NaN
2022-05-16T12:00:00Z,0.0,48.1,-122.80000000000001,NaN
2022-05-16T12:00:00Z,0.0,48.1,-122.775,37.139214
2022-05-16T12:00:00Z,0.0,48.1,-122.75,11.687704
2022-05-16T12:00:00Z,0.0,48.1,-122.725,9.693687
